Monochromator Step - Photons	Photons (cps) - Photons	Monochromator Step - Plot 1	Photons (cps) - Plot 1
4200	49210	4200	49210
4201	54080	4201	54080
4202	66280	4202	66280
4203	56350	4203	56350
4204	59300	4204	59300
4205	42820	4205	42820
4206	76950	4206	76950
4207	50160	4207	50160
4208	78600	4208	78600
4209	44040	4209	44040
4210	67760	4210	67760
4211	41050	4211	41050
4212	65260	4212	65260
4213	60890	4213	60890
4214	58020	4214	58020
4215	49220	4215	49220
4216	61570	4216	61570
4217	49630	4217	49630
4218	43150	4218	43150
4219	83660	4219	83660
4220	72370	4220	72370
4221	57490	4221	57490
4222	47470	4222	47470
4223	78940	4223	78940
4224	71320	4224	71320
4225	93820	4225	93820
4226	55000	4226	55000
4227	69850	4227	69850
4228	50850	4228	50850
4229	31030	4229	31030
4230	68660	4230	68660
4231	71730	4231	71730
4232	71540	4232	71540
4233	35200	4233	35200
4234	34170	4234	34170
4235	32570	4235	32570
4236	48750	4236	48750
4237	38490	4237	38490
4238	15870	4238	15870
4239	82290	4239	82290
4240	23140	4240	23140
4241	39600	4241	39600
4242	60050	4242	60050
4243	46750	4243	46750
4244	23440	4244	23440
4245	42700	4245	42700
4246	45300	4246	45300
4247	40520	4247	40520
4248	20850	4248	20850
4249	44260	4249	44260
4250	73830	4250	73830
4251	65100	4251	65100
4252	62270	4252	62270
4253	34530	4253	34530
4254	64540	4254	64540
4255	36710	4255	36710
4256	55450	4256	55450
4257	49470	4257	49470
4258	33240	4258	33240
4259	23910	4259	23910
4260	14000	4260	14000
4261	23630	4261	23630
4262	81550	4262	81550
4263	23470	4263	23470
4264	6960	4264	6960
4265	34900	4265	34900
4266	16790	4266	16790
4267	19690	4267	19690
4268	18480	4268	18480
4269	61230	4269	61230
4270	80710	4270	80710
4271	27510	4271	27510
4272	43350	4272	43350
4273	5430	4273	5430
4274	3110	4274	3110
4275	17190	4275	17190
4276	30640	4276	30640
4277	260	4277	260
4278	4340	4278	4340
4279	22500	4279	22500
4280	7780	4280	7780
4281	230	4281	230
4282	3990	4282	3990
4283	22030	4283	22030
4284	29710	4284	29710
4285	10510	4285	10510
4286	19960	4286	19960
4287	16430	4287	16430
4288	3290	4288	3290
4289	390	4289	390
4290	210	4290	210
4291	9960	4291	9960
4292	3040	4292	3040
4293	270	4293	270
4294	320	4294	320
4295	38320	4295	38320
4296	730	4296	730
4297	440	4297	440
4298	26200	4298	26200
4299	16030	4299	16030
4300	390	4300	390
4301	200	4301	200
4302	23510	4302	23510
4303	1010	4303	1010
4304	240	4304	240
4305	5930	4305	5930
4306	25840	4306	25840
4307	3750	4307	3750
4308	12840	4308	12840
4309	7400	4309	7400
4310	2370	4310	2370
4311	17110	4311	17110
4312	22780	4312	22780
4313	310	4313	310
4314	260	4314	260
4315	8390	4315	8390
4316	11550	4316	11550
4317	22160	4317	22160
4318	290	4318	290
4319	18430	4319	18430
4320	21450	4320	21450
4321	6430	4321	6430
4322	2490	4322	2490
4323	11870	4323	11870
4324	16610	4324	16610
4325	6470	4325	6470
4326	17670	4326	17670
4327	12260	4327	12260
4328	9650	4328	9650
4329	4780	4329	4780
4330	14780	4330	14780
4331	7700	4331	7700
4332	200	4332	200
4333	16980	4333	16980
4334	280	4334	280
4335	4710	4335	4710
4336	6470	4336	6470
4337	11910	4337	11910
4338	16190	4338	16190
4339	270	4339	270
4340	5140	4340	5140
4341	13170	4341	13170
4342	22920	4342	22920
4343	15740	4343	15740
4344	15450	4344	15450
4345	18180	4345	18180
4346	24610	4346	24610
4347	7740	4347	7740
4348	410	4348	410
4349	6050	4349	6050
4350	25230	4350	25230
4351	3660	4351	3660
4352	260	4352	260
4353	4600	4353	4600
4354	21600	4354	21600
4355	9360	4355	9360
4356	15920	4356	15920
