V,I
0.01,1.2576
0.11,1.01768
0.209,0.80071
0.299,0.62115
0.38,0.47502
0.445,0.37206
0.509,0.27657
0.567,0.20068
0.645,0.11275
0.696,0.06598
0.732,0.03981
0.771,0.01669
0.784,0.01074
0.794,0.00626
0.803,0.00284
0.809,0.00051
0.82,-0.00315
0.837,-0.00828
0.852,-0.01214
0.896,-0.02027
1.007,-0.02754
1.309,-0.02952
2.024,-0.03012
