V,I
0.065,1.1579
0.098,1.078
0.135,0.9925
0.225,0.7895
0.249,0.7414
0.275,0.688
0.301,0.6379
0.343,0.5566
0.371,0.5066
0.391,0.4708
0.45,0.3731
0.575,0.1947
0.635,0.1253
0.675,0.0862
0.682,0.0796
0.74,0.0352
0.761,0.02295
0.772,0.01685
0.783,0.01145
0.796,0.00575
0.804,0.00235
0.8,0.00405
0.815,-0.0015
0.83,-0.00645
0.843,-0.0099
0.875,-0.0173
0.911,-0.0225
0.938,-0.0249
0.981,-0.0274
1.047,-0.0287
1.302,-0.0299
