V,I
0.012,0.23029
0.115,0.10791
0.168,0.06579
0.279,0.01694
0.321,0.00879
0.332,0.00733
0.375,0.00302
0.424,0.00041
0.43,0.00019
0.465,-0.00087
0.525,-0.00216
0.612,-0.00356
0.678,-0.00431
0.843,-0.00561
1.606,-0.00698
