V,I
0.008,0.2326
0.063,0.1625
0.083,0.14015
0.106,0.1166
0.136,0.0895
0.166,0.0677
0.196,0.04915
0.234,0.03135
0.255,0.02385
0.285,0.0159
0.315,0.0102
0.336,0.00715
0.352,0.00525
0.371,0.00355
0.374,0.0033
0.382,0.00285
0.389,0.00235
0.403,0.00155
0.411,0.0013
0.42,0.00075
0.428,0.00055
0.443,0.00005
0.473,-0.0009
0.486,-0.0013
0.509,-0.00173
0.545,-0.0025
0.59,-0.00315
0.632,-0.00377
0.804,-0.00545
1.03,-0.0065
