
V,I
0.01,1.6016
0.024,1.5712
0.046,1.527
0.058,1.504
0.078,1.464
0.096,1.427
0.119,1.38355
0.14,1.3446
0.162,1.3005
0.173,1.2806
0.212,1.20684
0.237,1.162
0.268,1.1078
0.284,1.0788
0.312,1.03011
0.325,1.01007
0.34,0.98482
0.368,0.9372
0.392,0.9
0.416,0.86076
0.42,0.853
0.447,0.80442
0.47,0.783
0.487,0.753
0.507,0.723
0.535,0.6823
0.559,0.6501
0.588,0.6102
0.607,0.5842
0.626,0.559
0.658,0.5192
0.693,0.475
0.727,0.433
0.755,0.4
0.789,0.363
0.823,0.325
0.848,0.299
0.886,0.259
0.902,0.2256
0.95,0.1967
0.982,0.167
1.01,0.1393
1.052,0.1086
1.079,0.0886
1.107,0.0695
1.143,0.0478
1.169,0.033
1.205,0.0161
1.226,0.00674
1.271,-0.00978
1.25,-0.00251
1.275,-0.011
1.292,-0.0161
1.329,-0.02556
1.335,-0.0268
1.357,-0.0311
1.375,-0.034
1.393,-0.0364
1.416,-0.0389
1.439,-0.041
1.462,-0.04261
1.472,-0.04308
1.495,-0.0444
1.53,-0.04525
1.558,-0.0459
1.594,-0.0465
1.621,-0.047
1.653,-0.0472
1.676,-0.04769
1.709,-0.04781
1.746,-0.048
1.767,-0.0482
1.809,-0.0484
1.844,-0.04866
1.873,-0.04874
1.9,-0.04886
1.93,-0.049
,
1.986,-0.04922
2.023,-0.0492
