
V,I
0.06,0.9946
0.09,0.886
0.124,0.8196
0.155,0.7646
0.182,0.7135
0.212,0.6591
0.237,0.616
0.251,0.5936
0.275,0.555
0.299,0.5166
0.321,0.4834
0.342,0.4518
0.361,0.424
0.38,0.3966
0.402,0.366
0.42,0.343
0.411,0.354
0.435,0.323
0.453,0.2993
0.475,0.2708
0.491,0.2528
0.513,0.226
0.53,0.207
0.553,0.1815
0.572,0.1633
0.593,0.1399
0.61,0.1245
0.635,0.1011
0.663,0.07675
0.671,0.071
0.689,0.0571
0.695,0.0527
0.705,0.04575
0.718,0.0387
0.728,0.03189
0.74,0.0261
0.768,0.01335
0.784,0.00722
0.801,0.00161
0.826,-0.00514
0.846,-0.00917
0.871,-0.01316
0.897,-0.0161
0.911,-0.0173
0.932,-0.01853
0.958,-0.01973
0.975,-0.0203
1,-0.021
1.02,-0.0214
1.043,-0.0216
1.065,-0.02194
1.079,-0.022
1.105,-0.02229
1.127,-0.02251
1.156,-0.02266
1.176,-0.02265
1.19,-0.0227
1.221,-0.0228
1.248,-0.02294
1.285,-0.023
1.318,-0.0231
1.352,-0.0233
1.3777,-0.023
1.401,-0.0233
1.424,-0.0236
1.456,-0.0234
1.483,-0.0235
1.507,-0.0234
1.521,-0.0236
1.555,-0.0236
1.579,-0.0236
1.602,-0.0235
1.63,-0.0236
1.66,-0.0235
1.688,-0.0235
1.714,-0.02358
1.744,-0.02361
1.773,-0.02357
