
V,I
0.041,0.02641
0.064,0.024
0.09,0.02167
0.104,0.02065
0.12,0.01945
0.138,0.01842
0.152,0.01776
0.167,0.01685
0.192,0.0158
0.207,0.0151
0.231,0.01416
0.251,0.0134
0.27,0.0126
0.291,0.01182
0.308,0.0112
0.325,0.0106
0.341,0.0101
0.355,0.00966
0.379,0.00894
0.395,0.00828
0.409,0.008
0.426,0.00743
0.441,0.00701
0.464,0.00638
0.482,0.00594
0.505,0.00543
0.528,0.00488
0.552,0.00443
0.571,0.00392
0.588,0.00361
0.607,0.00329
0.629,0.00297
0.647,0.00266
0.665,0.00235
0.692,0.00185
0.712,0.00162
0.733,0.00138
0.747,0.00127
0.77,0.00097
0.793,0.00067
0.82,0.00045
0.842,0.00024
0.862,0.00008
0.888,-0.0001
0.903,-0.00016
0.92,-0.00035
0.956,-0.00049
0.975,-0.00053
0.992,-0.0006
1.014,-0.00071
1.028,-0.00082
1.052,-0.00092
1.073,-0.001
1.093,-0.00104
1.113,-0.00106
1.159,-0.00111
1.174,-0.0012
1.2,-0.00127
1.23,-0.00129
1.256,-0.00136
1.281,-0.00132
1.298,-0.00135
1.32,-0.00136
1.351,-0.00135
1.377,-0.00139
1.415,-0.00141
1.443,-0.00146
1.48,-0.00149
1.502,-0.0015
1.529,-0.00153
