
V,I
0.008,0.14886
0.025,0.13
0.042,0.115
0.062,0.09947
0.078,0.08739
0.113,0.06714
0.143,0.051
0.159,0.0441
0.181,0.03572
0.2,0.02953
0.216,0.02506
0.243,0.01853
0.262,0.01488
0.281,0.01185
0.306,0.00876
0.326,0.00656
0.345,0.00505
0.362,0.00375
0.374,0.00311
0.378,0.00287
0.397,0.00193
0.41,0.00144
0.421,0.00111
0.431,0.0007
0.456,0
0.473,-0.0003
0.491,-0.00068
0.519,-0.00114
0.542,-0.0015
0.56,-0.00181
0.586,-0.00214
0.601,-0.00234
0.613,-0.00245
0.634,-0.00262
0.658,-0.0029
0.679,-0.00307
0.705,-0.0033
0.726,-0.0034
0.753,-0.00366
0.777,-0.00391
0.791,-0.00398
0.822,-0.00404
0.846,-0.00415
0.871,-0.00431
0.897,-0.00439
0.93,-0.00454
0.954,-0.00457
0.981,-0.00464
1.013,-0.00465
1.047,-0.00471
1.075,-0.0048
1.104,-0.00479
1.141,-0.00487
1.174,-0.00492
1.203,-0.005
1.236,-0.00502
1.266,-0.00502
1.294,-0.00505
1.326,-0.00508
1.355,-0.0051
1.38,-0.00515
1.415,-0.00516
1.451,-0.00518
1.479,-0.00518
1.511,-0.00519
1.541,-0.0052
1.561,-0.00523
1.603,-0.00528
1.619,-0.0053
1.651,-0.0053
